"","District","Sector","totalDiagnoses","totalIncidence","incidenceRate","Level"
"9","BURERA","CYERU",26,5,19.23,"Low"
"10","BURERA","GITOVU",42,33,78.57,"High"
"12","BURERA","KAGOGO",28,1,3.57,"Low"
"14","BURERA","KINONI",70,17,24.29,"Medium"
"15","BURERA","KINYABABA",234,2,0.85,"Low"
"16","BURERA","NDAGO",30,1,3.33,"Low"
"19","BURERA","RUGARAMA",353,14,3.97,"Low"
"24","BURERA","RUGENGABALI",156,90,57.69,"High"
"28","BURERA","RUSARABUYE",814,62,7.62,"Low"
"35","GAKENKE","RUSASA",185,33,17.84,"Low"
"36","GAKENKE","RUSHASHI",127,35,27.56,"Medium"
"44","GATSIBO","GITOKI",110,42,38.18,"Medium"
"48","GATSIBO","REMERA",157,11,7.01,"Low"
"54","GICUMBI","MUTETE",29,1,3.45,"Low"
"56","GICUNBI","BWISIGE",48,33,68.75,"High"
"58","GISAGARA","KANSI",116,22,18.97,"Low"
"60","GISAGARA","KIBIRIZI",371,38,10.24,"Low"
"64","GISAGARA","MUGANZA",74,1,1.35,"Low"
"66","GISAGARA","MUKINDO",163,51,31.29,"Medium"
"67","GISAGARA","NYANZA",115,37,32.17,"Medium"
"69","GISAGARA","SAVE",416,37,8.89,"Low"
"77","HUYE","HUYE",47,1,2.13,"Low"
"81","HUYE","MBAZI",388,96,24.74,"Medium"
"82","HUYE","NGOMA",29,4,13.79,"Low"
"83","HUYE","RUSATIRA",112,25,22.32,"Medium"
"85","KARONGI","BWISHYURA",21,6,28.57,"Medium"
"87","KARONGI","GISHYITA",953,48,5.04,"Low"
"92","KARONGI","MURAMBI",167,1,0.6,"Low"
"99","KAYONZA","KABARONDO",97,56,57.73,"High"
"102","KAYONZA","MUKARANGE",66,32,48.48,"Medium"
"103","KAYONZA","NDEGO",40,1,2.5,"Low"
"104","KAYONZA","RUKARA",671,21,3.13,"Low"
"111","KIREHE","GATORE",56,8,14.29,"Low"
"115","MONYI","MUGINA",101,60,59.41,"High"
"117","MUHANGA","KABACUZI",366,47,12.84,"Low"
"122","MUHANGA","KIBANGU",94,61,64.89,"High"
"124","MUHANGA","NYAMABUYE",100,7,7,"Low"
"127","MUHANGA","SHYOGWE",126,44,34.92,"Medium"
"131","MUSANZE","GASHAKI",106,7,6.6,"Low"
"132","MUSANZE","MUKO",35,13,37.14,"Medium"
"134","MUSANZE","NKOTSI",52,12,23.08,"Medium"
"135","MUSANZE","RWAZA",21,4,19.05,"Low"
"140","NYABIHU","RUGERA",20,7,35,"Medium"
"142","NYAGATARE","NYAGATARE",27,0,0,"Low"
"147","NYAMAGABE","MBAZI",46,29,63.04,"High"
"149","NYAMAGABE","MUSHUBI",323,14,4.33,"Low"
"150","NYAMASHEKE","BUSHEKERI",68,52,76.47,"High"
"151","NYAMASHEKE","BUSHENGE",39,9,23.08,"Medium"
"153","NYAMASHEKE","KAGANO",76,25,32.89,"Medium"
"154","NYAMASHEKE","KANJONGO",355,58,16.34,"Low"
"156","NYAMASHEKE","MACUBA",65,27,41.54,"Medium"
"163","RUBAVU","CYANZARWE",133,1,0.75,"Low"
"164","RUBAVU","NYAMYUMBA",23,6,26.09,"Medium"
"166","RUBAVU","RUGERERO",217,46,21.2,"Medium"
"167","RUHANGO","BYIMANA",87,8,9.2,"Low"
"171","RULINDO","CYUNGO",30,5,16.67,"Low"
"173","RULINDO","KINIHIRA",130,17,13.08,"Low"
"177","RULINDO","TUMBA",285,31,10.88,"Low"
"181","RURINDO","KINIHIRA",155,70,45.16,"Medium"
"191","RUSIZI","GASHONGA",256,41,16.02,"Low"
"194","RUSIZI","MURURU",76,5,6.58,"Low"
"195","RUSIZI","NKANKA",226,101,44.69,"Medium"
"197","RUSIZI","NYAKABUYE",32,16,50,"High"
"198","RUSIZI","RWIMBOGO",97,6,6.19,"Low"
"201","RUTSIRO","BONEZA",398,4,1.01,"Low"
"204","RUTSIRO","KIGEYO",88,74,84.09,"High"
"207","RUTSIRO","MSHUBATI",33,32,96.97,"High"
"208","RUTSIRO","MUSASA",25,1,4,"Low"
"209","RUTSIRO","MUSHUBATI",52,37,71.15,"High"
