,OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
0,1,189,RWA,Rwanda,1,Amajyaruguru,1,burera,District,District,,
1,2,189,RWA,Rwanda,1,Amajyaruguru,2,gakenke,District,District,,
2,3,189,RWA,Rwanda,1,Amajyaruguru,3,gicumbi,District,District,,
3,4,189,RWA,Rwanda,1,Amajyaruguru,4,musanze,District,District,,
4,5,189,RWA,Rwanda,1,Amajyaruguru,5,rulindo,District,District,,
5,6,189,RWA,Rwanda,2,Amajyepfo,6,gisagara,District,District,,
6,7,189,RWA,Rwanda,2,Amajyepfo,7,huye,District,District,,
7,8,189,RWA,Rwanda,2,Amajyepfo,8,kamonyi,District,District,,
8,9,189,RWA,Rwanda,2,Amajyepfo,9,muhanga,District,District,,
9,10,189,RWA,Rwanda,2,Amajyepfo,10,nyamagabe,District,District,,
10,11,189,RWA,Rwanda,2,Amajyepfo,11,nyanza,District,District,,
11,12,189,RWA,Rwanda,2,Amajyepfo,12,nyaruguru,District,District,,
12,13,189,RWA,Rwanda,2,Amajyepfo,13,ruhango,District,District,,
13,14,189,RWA,Rwanda,3,Iburasirazuba,14,bugesera,District,District,,
14,15,189,RWA,Rwanda,3,Iburasirazuba,15,gatsibo,District,District,,
15,16,189,RWA,Rwanda,3,Iburasirazuba,16,kayonza,District,District,,
16,17,189,RWA,Rwanda,3,Iburasirazuba,17,kirehe,District,District,,
17,18,189,RWA,Rwanda,3,Iburasirazuba,18,ngoma,District,District,,
18,19,189,RWA,Rwanda,3,Iburasirazuba,19,nyagatare,District,District,,
19,20,189,RWA,Rwanda,3,Iburasirazuba,20,rwamagana,District,District,,
20,21,189,RWA,Rwanda,4,Iburengerazuba,21,karongi,District,District,,
21,22,189,RWA,Rwanda,4,Iburengerazuba,22,ngororero,District,District,,
22,23,189,RWA,Rwanda,4,Iburengerazuba,23,nyabihu,District,District,,
23,24,189,RWA,Rwanda,4,Iburengerazuba,24,nyamasheke,District,District,,
24,25,189,RWA,Rwanda,4,Iburengerazuba,25,rubavu,District,District,,
25,26,189,RWA,Rwanda,4,Iburengerazuba,26,rusizi,District,District,,
26,27,189,RWA,Rwanda,4,Iburengerazuba,27,rutsiro,District,District,,
27,28,189,RWA,Rwanda,5,Umujyi wa Kigali,28,gasabo,District,District,,
28,29,189,RWA,Rwanda,5,Umujyi wa Kigali,29,kicukiro,District,District,,
29,30,189,RWA,Rwanda,5,Umujyi wa Kigali,30,nyarugenge,District,District,,
