"id","Date.Created","Gender","District","Sector","Village","Cell","Latitude","Longitude","Has.BXW"
"-LulaU26_-KXXeHGkWKR","2019-11-28T12:38:07.133+02:00","","Karongi","Nwishyura","Gisayo","Gasura",-2.07006538286805,29.3528175540268,"NO"
"-Lula_TxaQR6dHI97GXk","2019-11-28T12:38:36.008+02:00","","Burera","Kinyababa","Murambo","Kaganda",-1.40577353071421,29.8004266899079,"NO"
"-LumDIBX9RI1PM-zgY56","2019-11-28T15:35:10.968+02:00","","Burera","Rugarama","Rwambeho","Rurembo",-1.42885310109705,29.7176146600395,"NO"
"-Luq7GsqJKpQrUC0nNbR","2019-11-29T09:47:21.182+02:00","","Rubavu","Cyanzarwe","Hanika","Rwangara",-1.62186922039837,29.3191938847303,"NO"
"-Luq7O5jsTThezB3i2sg","2019-11-29T09:47:50.143+02:00","","Rubavu","Cyanzarwe ","Kanyamagare","Ryabizige",-1.62189985625446,29.3192395661026,"NO"
"-Luq7WTzDl6_i4WEbVEj","2019-11-29T09:48:38.188+02:00","","Rubavu","Cyanzarwe","Hanika","Rwangara",-1.62186875939369,29.3191939685494,"NO"
"-LuqevGU6XV8YEOQNS_c","2019-11-29T12:18:44.098+02:00","","Rubavu","Rugerero","Nkama","Kabirizi",-1.68813105672598,29.2957283277065,"NO"
"-LvA9s_xbfxCPwYEfgo4","2019-12-03T11:50:41.496+02:00","","Kayonza","Rukara","Kinunga","Rukara",-1.81633955799043,30.481135379523,"NO"
"-LvAaTao5K68L4VN-E02","2019-12-03T13:51:16.442+02:00","","Kayonza","Kabarondo","Rubira","Kabura",-2.04261703882366,30.537795452401,"NO"
"-LvAjVV-QHmdbQ5lTG18","2019-12-03T14:30:28.57+02:00","","Kayonza","Kabarondo","Nyabikenke

2","Kabura",-2.04259084537625,30.5377752520144,"NO"
"-LvAxj2io2yU96yVnDOX","2019-12-03T15:32:53.017+02:00","","Kayonza","Kabarondo","Murambi","Kabura",-2.0421800063923,30.5381129588932,"NO"
"-LvAy5qXr5YZixAt_BN6","2019-12-03T15:34:33.771+02:00","","Kayonza","Kabarondo","Murambi","Kabura",-2.04217728227377,30.5381115339696,"NO"
"-LvF5dEAbF5FgzvmzWfd","2019-12-04T10:49:52.847+02:00","","Kayonza","Kabarondo","Rusera","Rusera",-1.99843694921583,30.5585663113743,"NO"
"-LvF_sWTRXlls8YBG-4D","2019-12-04T13:06:50.701+02:00","","Gatsibo","Kage","Ruki","Nyagispzi",-1.68838553130627,30.2811020985246,"NO"
"-LvFa5Gp7C7ifo38CGbq","2019-12-04T13:07:37.852+02:00","","Gatsibo","Kage","Ruki","Nyagispzi",-1.6418014280498,30.3227895777673,"NO"
"-LvFaI2BiKtzLHRCyBXT","2019-12-04T13:08:31.902+02:00","","Gatsibo","Kage","Ruki","Nyagispzi",-1.64219931699336,30.3223714884371,"NO"
"-LvFakxk0eiT6oaxbg-d","2019-12-04T13:10:37.962+02:00","","Gatsibo","Kage","Ruki","Nyagispzi",-1.64221436250955,30.3223901800811,"NO"
"-LvFaycul4-WQqpEdp59","2019-12-04T13:10:02.589+02:00","","Gatsibo","Gitoki","Rushashi","Cyabusheshe",-1.64236221928149,30.3224174212664,"NO"
"-LvFbCO9tzn3X4fVrmHZ","2019-12-04T13:11:14.459+02:00","","Gatsibo","Kage","Ruki","Nyagispzi",-1.64229344576597,30.322302589193,"NO"
"-LvFkdp5EEI55abZJIdD","2019-12-04T13:53:52.338+02:00","","Gatsibo","Gitoki ","Rukira","Nyamirama",-1.64228099863976,30.3223021700978,"NO"
"-LvG7Jg-IwEARwpntDwx","2019-12-04T15:37:17.109+02:00","","Gatsibo","Remera","Amataba","Kigabiro",-1.70334848575294,30.346881262958,"NO"
"-LvGBaQdnMCTPRAxLB4V","2019-12-04T15:55:58.068+02:00","","Gatsibo","Remera","Amataba","Kigabiro",-1.70327137224376,30.3469590470195,"NO"
"-LvKJcK2vnUXLRkXdu4A","2019-12-05T11:09:25.908+02:00","","Gatsibo","Gatsibo","Kizinga","Nyagahanga",-1.60996209830046,30.2207835763693,"NO"
"-LvKJks15I3sgtMP52bl","2019-12-05T11:10:10.506+02:00","","Gatsibo","Gatsibo","Kizinga","Nyagahanga",-1.61002370528877,30.2208244800568,"NO"
"-LvKLnURpU7UO0jxk-PD","2019-12-05T11:18:59.188+02:00","","Gatsibo","Gatsib0","Kizinga","Nyagahanga",-1.61006108857691,30.2207937184721,"NO"
"-LvKMB881TsiLrvGZvBt","2019-12-05T11:20:47.175+02:00","","Gatsibo","Gatsib0","Kizinga","Nyagahanga",-1.61004893481731,30.2207973226905,"NO"
"-LvKMbbVoSbNOMP0SvOR","2019-12-05T11:22:49.744+02:00","","Gatsibo","Gatsibo","Kizinga","Nyagahanga",-1.61003828980029,30.220801262185,"NO"
"-LvKNS5zFlYKiETGcf3d","2019-12-05T11:25:07.714+02:00","","Gatsibo","Gatsib0","Kizinga","Nyagahanga",-1.60999575164169,30.2208087220788,"NO"
"-LvTsy90WThW2i7DgwZ0","2019-12-07T07:44:57.771+02:00","","Rubavu","Cyanzarwe ","Hanika ","Rwangara ",-1.63550749886781,29.3135366868228,"NO"
"-Lv_umMsFhQhXjFeqmVD","2019-12-08T16:30:12.665+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66161012835801,29.9886089656502,"NO"
"-Lv_uwqAErBztzowhM1c","2019-12-08T16:30:59.104+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66164290159941,29.9885471072048,"NO"
"-LvfA_bD0Z5HXEMVCqht","2019-12-09T17:01:45.242+02:00","Gitsina Gabo","Burera","Rugarama","Rwambeho","Rurembo",-1.40548276249319,29.746325276792,"NO"
"-LvisXTSHFmp291y8pwu","2019-12-10T10:16:59.905+02:00","","Rulindo","Kinihira","Ndusu","Rebero",-1.66752951219678,29.9834577832371,"NO"
"-LvisaSoiBtlSFEC0wLF","2019-12-10T10:17:18.639+02:00","","Rulindo","Kinihira","Ndusu","Rebero",-1.66746522299945,29.9834984354675,"NO"
"-LviseDkR5ZANQR_ddYr","2019-12-10T10:17:35.873+02:00","","Rulindo","Kinihira","Ndusu","Rebero",-1.66740546002984,29.9834899697453,"NO"
"-Lvisp6PMEX1PHBix0xi","2019-12-10T10:18:20.358+02:00","","Rulindo","Kinihira","Ndusu","Rebero",-1.66738781612366,29.9834939930588,"NO"
"-LvisuN7Y5z-XJ50DJET","2019-12-10T10:18:40.993+02:00","","Rulindo","Kinihira","Ndusu","Ebero",-1.66740034706891,29.9835007824004,"NO"
"-Lvit-My_eNWuvIQ32Wo","2019-12-10T10:19:06.274+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66740546002984,29.9834770616144,"NO"
"-Lvit4mlo3bMs3ljgq5N","2019-12-10T10:19:29.067+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66744808200747,29.9834822583944,"NO"
"-Lvit9QBH9trfg_n_inn","2019-12-10T10:19:47.763+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.6674376046285,29.9834946636111,"NO"
"-LvitHzOrivCqv9Eo1KO","2019-12-10T10:20:16.53+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66743743699044,29.9834869522601,"NO"
"-LvitRIIWN8Ed9jZQkrk","2019-12-10T10:21:01.099+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.6674397001043,29.983468009159,"NO"
"-LvitVmZN9DxZxaN7oQh","2019-12-10T10:21:17.813+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.6674404963851,29.9834602978081,"NO"
"-Lvith-fUdGzDQ2_GLfT","2019-12-10T10:22:08.269+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66744812391698,29.9834843538702,"NO"
"-LvitlJirkFdFab8xNDD","2019-12-10T10:22:26.448+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66743588633835,29.9834939930588,"NO"
"-Lvitpp7hUIUNw4tFyaD","2019-12-10T10:22:43.198+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66742398403585,29.9834922328591,"NO"
"-Lvitv1teU4le3fRCb0y","2019-12-10T10:23:02.775+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66742620524019,29.9834910593927,"NO"
"-Lviu1CHPECXokdGrS-A","2019-12-10T10:23:35.365+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.6674230620265,29.9834790732712,"NO"
"-Lviu6kN_CHGrqCLFVqU","2019-12-10T10:23:58.442+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66740034706891,29.9834753852338,"NO"
"-LviuCBR8E9U00A2AOOj","2019-12-10T10:24:21.574+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66741229128093,29.983468092978,"NO"
"-Lviupph0BXVPfUYGRsx","2019-12-10T10:27:06.117+02:00","","Rulindo","Kinihira ","Ndusu 
","Rebero ",-1.667411159724,29.9834668356925,"NO"
"-Lviv1wTBXlfuCFILUiw","2019-12-10T10:28:00.622+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66740441229194,29.9834716971964,"NO"
"-LvivQvVVJn1rJKNfqct","2019-12-10T10:29:43.341+02:00","","Rulindo","Kinihira ","Ndusu ","Rebero ",-1.66739908978343,29.9834687635303,"NO"
"-LvsenQyWBuFxLG89C06","2019-12-12T07:52:45.527+02:00","","Gisagara","Kibirizi","Rubazi","Ruturo",-2.62589121703058,29.7596972621977,"YES"
"-Lvsf0SKJQls0s3iCWNi","2019-12-12T07:53:47.166+02:00","","Gisagara","Kibirizi","Ribazi","Ruturi",-2.62588664889336,29.7596664167941,"NO"
"-LvsfEVhAeUz5lC5_vU4","2019-12-12T07:54:39.903+02:00","","Gisagara","Kibirizi","Rubazi","Ruturo",-2.62599842157215,29.7595889680088,"YES"
"-LvtRDdCsmDDuTFBzLVV","2019-12-12T11:29:27.835+02:00","","Burera","Rusarabuye ","Ndago ","Ndago ",-1.49371587205678,29.8358196113259,"NO"
"-LvtST6Bd3lPGco1PBcR","2019-12-12T11:34:34.303+02:00","Gitsina Gabo","Burera","Rusarabuye ","Ndago ","Ndago ",-1.49380547460169,29.8359289951622,"NO"
"-LvtVImtDE8NCUJvptpq","2019-12-12T11:47:17.513+02:00","Gitsina Gabo","Burera","Rusarabuye ","Ndago ","Ndago ",-1.49367379490286,29.8358087148517,"NO"
"-LvtVMtTJ6fSmPnJu3pc","2019-12-12T11:47:34.32+02:00","Gitsina Gabo","Burera","Rusarabuye ","Ndago ","Ndago ",-1.49368972051889,29.8357901908457,"NO"
"-LvtVPUh06iFFhAfJGUz","2019-12-12T11:47:44.959+02:00","Gitsina Gabo","Burera","Rusarabuye ","Ndago ","Ndago ",-1.49368263781071,29.8358586709946,"NO"
"-LvtVUN_iCi9VKDKjEoU","2019-12-12T11:48:04.983+02:00","","Burera","Rusarabuye ","Ndago ","Ndago ",-1.4936659578234,29.8358776979148,"NO"
"-LvtVYS4sx91XxBadEKJ","2019-12-12T11:48:21.654+02:00","","Burera","Rusarabuye ","Ndago ","Ndago ",-1.4936630660668,29.8358711600304,"NO"
"-LvtVaXItZCOfoQ9OhuE","2019-12-12T11:48:34.277+02:00","","Burera","Ndago ","Ndago ","Ndago ",-1.49365480989218,29.8358525522053,"NO"
"-LvtVdVY5yoE2bpPe7Mq","2019-12-12T11:48:46.451+02:00","","Burera","Ndago ","Ndago ","Ndago ",-1.49363004136831,29.8358236346394,"NO"
